Валерия Назарова;79467227898;Frederic37@ya.ru;0;female;Санкт-Петербург, Virgie улица, д.8, кв.330;;13.09.1970;;Справочник;1346269;Золотой;9521;489
Артём Агафонов;79497938135;Ephraim_75@yahoo.com;0;male;Санкт-Петербург, Dena проспект, д.21, кв.7;;17.08.1974;;Газета;2178309;Серебрянный;5228;5763
Николай Пахомов;79078389165;Linnie_@gmail.com;0;male;Санкт-Петербург, Родионов улица, д.69, кв.848;;05.05.1978;;Совет друзей;3524578;Бронзовый;2524;8293
Кира Вишнякова;79649508280;Katharina24@mail.ru;0;female;Санкт-Петербург, Bill площадь, д.79, кв.500;;17.02.1981;;Другой источник;5702887;Серебрянный;8117;6205
Алина Ефимова;79362544714;Aidan65@hotmail.com;0;female;Санкт-Петербург, Шестаков пл., д.51, кв.920;;19.07.1975;;Оффлайн реклама;9227465;Серебрянный;873;9185
Ольга Александрова;79098511747;Pamela.9@mail.ru;0;female;Санкт-Петербург, Дроздова проспект, д.74, кв.434;;24.11.1984;;;14930352;Золотой;1174;2316
Макар Максимов;79994459415;Zack3@yandex.ru;0;male;Санкт-Петербург, Королев площадь, д.45, кв.455;;14.05.1996;;Справочник;24157817;Платиновый;1929;6064
Алла Полякова;79361908476;Zella98@yandex.ru;0;female;Санкт-Петербург, Дроздова пр., д.50, кв.430;;16.10.1999;;Совет друзей;39088169;Бронзовый;9601;4209
Нина Маркова;79001521654;Walton_@mail.ru;0;female;Санкт-Петербург, Гришина проспект, д.12, кв.475;;15.10.1989;;Совет друзей;63245986;;5694;5975
Анатолий Комаров;79167209170;Ayden_93@yandex.ru;0;male;Санкт-Петербург, Дроздова пл., д.36, кв.65;;01.05.1980;;Другой источник;102334155;Золотой;9199;5447
Алина Ефремова;79177033896;Alanis_37@hotmail.com;0;female;Санкт-Петербург, Тихонова ул., д.67, кв.728;;06.02.1988;;Совет друзей;165580141;Серебрянный;4727;3030
Антонида Самсонова;79677410654;Brain.82@gmail.com;0;female;Санкт-Петербург, Киселев пр., д.92, кв.198;;08.04.1994;;;267914296;Платиновый;3151;940
Галина Богданова;79942030218;Jaqueline91@gmail.com;0;female;Санкт-Петербург, Комиссаров улица, д.83, кв.892;;01.03.1971;;;433494437;Платиновый;1869;8245
Кира Владимирова;79636058518;Ismael_72@hotmail.com;0;female;Санкт-Петербург, Дроздова ул., д.33, кв.981;;19.12.1974;VIP;Оффлайн реклама;701408733;Серебрянный;4074;469
Антон Игнатьев;79295449870;Parker39@yahoo.com;0;male;Санкт-Петербург, Петрова ул., д.90, кв.96;;04.01.1991;;Другой источник;1134903170;Золотой;9912;2168
Герман Суханов;79624749723;Keaton_@mail.ru;0;male;Санкт-Петербург, Доронин пл., д.68, кв.181;;19.03.1984;;Справочник;1836311903;Золотой;749;7909
Станислав Авдеев;79846400471;Oliver32@ya.ru;0;male;Санкт-Петербург, Лебедева пр., д.21, кв.154;;08.02.1992;;Другой источник;2971215073;;8373;7852
Валерий Васильев;79970822334;Brown_@mail.ru;0;male;Санкт-Петербург, Sammy ул., д.93, кв.276;;23.07.1998;;Газета;4807526976;Золотой;4844;3912
Ярослав Гуляев;79246087510;Shayne72@yandex.ru;0;male;Санкт-Петербург, Robb ул., д.58, кв.24;;02.05.1990;;Газета;7778742049;;3512;8432
Ксения Веселова;79042980790;Milford30@yahoo.com;0;female;Санкт-Петербург, Субботина площадь, д.46, кв.996;;16.08.1981;;Совет друзей;12586269025;Платиновый;1383;3944
Виктор Тихонов;79679199887;Hilbert93@mail.ru;0;male;Санкт-Петербург, Дроздова площадь, д.7, кв.956;;04.07.1972;;Совет друзей;20365011074;Платиновый;6400;6485
Оксана Сидорова;79306819195;Sanford12@hotmail.com;0;female;Санкт-Петербург, Константинова пр., д.13, кв.41;;21.01.1999;;;32951280099;Серебрянный;6659;8764
Ульяна Федосеева;79047967462;Donna.13@mail.ru;0;female;Санкт-Петербург, Дроздова площадь, д.90, кв.273;;01.06.1971;;Газета;53316291173;Платиновый;8067;5931
